Offer,Description,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Up to 25% OFF* Instant Discount* on Flights and Hotels,"Hotels, Flights",https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak IndiGo 6E Rewards Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 25% OFF* Instant Discount* on Flights and Hotels,"Hotels, Flights",https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak Zen Signature Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 25% OFF* Instant Discount* on Flights and Hotels,"Hotels, Flights",https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Myntra Kotak Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 25% OFF* Instant Discount* on Flights and Hotels,"Hotels, Flights",https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak IndiGo 6E Rewards XL Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 25% OFF* Instant Discount* on Flights and Hotels,"Hotels, Flights",https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak League Platinum Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 25% OFF* Instant Discount* on Flights and Hotels,"Hotels, Flights",https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Indianoil Kotak Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 25% OFF* Instant Discount* on Flights and Hotels,"Hotels, Flights",https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak Urbane Gold Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 25% OFF* Instant Discount* on Flights and Hotels,"Hotels, Flights",https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak 811 Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 25% OFF* Instant Discount* on Flights and Hotels,"Hotels, Flights",https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,Kotak Mojo Platinum Credit Card,nan,,,,,,,,,,,,,,,,,,,,
Up to 25% OFF* Instant Discount* on Flights and Hotels,"Hotels, Flights",https://gos3.ibcdn.com/offerkotak-1759142552.jpg,https://www.goibibo.com/offers/kotak-emi/,PVR Inox Kotak Credit Card,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
,,,,nan,nan,,,,,,,,,,,,,,,,,,,,
