Offer Title,,,,Image,Link,Eligible Cards,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Flipkart Axis Bank,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Neo,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Atlas,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Flipkart Axis Bank SuperElite,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Rewards,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,IndianOil Axis Bank,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Fibe Axis Bank Rupay,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank SpiceJet Voyage Black,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,SpiceJet Axis Bank Voyage,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Samsung Axis Bank Infinite,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Reserve,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Vistara Infinite,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Miles And More World Select,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Miles And More World,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Samsung Axis Bank Signature,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Vistara,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Magnus,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank MY Zone,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Signature,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Privilege,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Privilege Easy,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Freecharge Plus,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Select,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Insta Easy,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Vistara Signature,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Pride Signature,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,LIC Axis Bank Signature,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Platinum,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank My Wings,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Aura,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Titanium Smart Traveller,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Freecharge,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Pride Platinum,
"Get up to 20% off
",,,,https://www.cleartrip.com/all-offers/wp-content/uploads/2024/03/Cleartrip-Logo.svg,https://www.cleartrip.com/all-offers/bbd-hero-offer-international-flights/,Axis Bank Neo,
