Offer Title,,,Image,Link,Eligible Cards
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Bank Biz First
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,World MasterCard
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,InterMiles HDFC Bank Signature
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC CSC Small Business MoneyBack
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Bank Titanium Times Card
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Bank Times Card Credit Platinum
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Bank Biz Grow RuPay
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC All Miles
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC MoneyBack
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Bank Biz Grow Visa
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Bank UPI RuPay Biz
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC UPI RuPay
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Bank Biz Power RuPay
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,HDFC Bank Biz Power Visa
"Up to Rs. 4,000 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b1fe229b8634c3e4b2f0146083297583.jpg,https://www.yatra.com/offer/details/hdfc-credit-card-emi-offers,Diners Club Privilege
"Flat 10% OFF (Up to Rs.5,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jun/334a69cda2740c2e52f428ab04cb0990.jpg,https://www.yatra.com/offer/details/hsbc-bank-emi-offer,HSBC Live+
"Flat 10% OFF (Up to Rs.5,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jun/334a69cda2740c2e52f428ab04cb0990.jpg,https://www.yatra.com/offer/details/hsbc-bank-emi-offer,HSBC Visa Platinum
"Flat 10% OFF (Up to Rs.5,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jun/334a69cda2740c2e52f428ab04cb0990.jpg,https://www.yatra.com/offer/details/hsbc-bank-emi-offer,HSBC Taj
"Flat 10% OFF (Up to Rs.5,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jun/334a69cda2740c2e52f428ab04cb0990.jpg,https://www.yatra.com/offer/details/hsbc-bank-emi-offer,HSBC TravelOne Mastercard
"Flat 10% OFF (Up to Rs.5,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jun/334a69cda2740c2e52f428ab04cb0990.jpg,https://www.yatra.com/offer/details/hsbc-bank-emi-offer,HSBC Premier Mastercard?
"Up to Rs. 4,500 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b91b9a3f86e5da08f2583a83a454d099.jpg,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Live+
"Up to Rs. 4,500 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b91b9a3f86e5da08f2583a83a454d099.jpg,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Visa Platinum
"Up to Rs. 4,500 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b91b9a3f86e5da08f2583a83a454d099.jpg,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Taj
"Up to Rs. 4,500 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b91b9a3f86e5da08f2583a83a454d099.jpg,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC TravelOne Mastercard
"Up to Rs. 4,500 OFF ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/b91b9a3f86e5da08f2583a83a454d099.jpg,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Premier Mastercard?
"Flat 12% OFF (Up to Rs. 7,500) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/8204e1c5159a6a67d54bdeb1df96701f.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Scapia
"Flat 12% OFF (Up to Rs. 7,500) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/8204e1c5159a6a67d54bdeb1df96701f.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Mastercard Signet
"Flat 12% OFF (Up to Rs. 7,500) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/8204e1c5159a6a67d54bdeb1df96701f.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank AmpliFi
"Flat 12% OFF (Up to Rs. 7,500) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/8204e1c5159a6a67d54bdeb1df96701f.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Rupay Signet
"Flat 12% OFF (Up to Rs. 7,500) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/8204e1c5159a6a67d54bdeb1df96701f.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Visa Celesta
"Flat 12% OFF (Up to Rs. 7,500) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/8204e1c5159a6a67d54bdeb1df96701f.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Visa Imperio
"Flat 12% OFF (Up to Rs. 7,500) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/8204e1c5159a6a67d54bdeb1df96701f.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank MagniFi
"Flat 12% OFF (Up to Rs. 7,500) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/8204e1c5159a6a67d54bdeb1df96701f.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Federal Bank Wave
"Flat 12% OFF (Up to Rs. 7,500) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/8204e1c5159a6a67d54bdeb1df96701f.jpg,https://www.yatra.com/offer/details/federal-bank-emi-offer,Fed StarBiz RuPay
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,HPCL BoB ENERGIE
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,IRCTC Bank of Baroda
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,BOB Assure
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,Bank of Baroda SNAPDEAL
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,BoB ETERNA
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,Bank of Baroda Premier
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,EASY
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,SELECT
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,PRIME
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,Bank of Baroda CMA ONE
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,Indian Navy VARUNAH Premium
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,BOBCARD ETERNA
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,ICSI DIAMOND
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,Assam Rifles The SENTINEL
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,ICAI EXCLUSIVE
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,Indian Army YODDHA
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,SWAVLAMBAN
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,UNNATI
"Flat 10% OFF (up to Rs. 7,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Jul/30c98bcb522eacf30577032cab4e0749.jpg,https://www.yatra.com/offer/details/bank-of-baroda-emi-offers,Indian Coast Guard Rakshamah
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,MakeMyTrip ICICI Bank
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,ICICI Bank HPCL Super Saver Visa
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,ICICI Bank HPCL Super Saver RuPay
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,Amazon Pay ICICI Bank
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,Skywards ICICI Bank Sapphiro
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,ICICI Parakram Select
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,Skywards ICICI Bank Emerald
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,Accelero ICICI Bank
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,ICICI HPCL Coral
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,MakeMyTrip ICICI Bank Platinum
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,MakeMyTrip ICICI Bank Signature
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,ICICI Manchester United Platinum
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,ICICI Parakram
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,Expressions
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,Emirates Skywards Rubyx
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,Adani One ICICI Platinum
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,Adani One ICICI Signature
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,ICICI Bank Emeralde
"Flat 10% OFF (up to Rs.6,000) ",,,https://www.yatra.com/ythomepagecms/media/todayspick_home/2025/Apr/ae4fdad2cd0fa68f749a34d75d4b4faa.jpg,https://www.yatra.com/offer/details/icici-bank-emi-offers,ICICI Bank Instant Platinum
